Game Title,Status,HLTB Main Story (Rounded),Time Played (Rounded),,,,,Backlog,,,
Crusader Kings II,Dropped,67.1 hrs,1.7 hrs,,,,,Grim Dawn,Backlog,21.4 hrs,0 hrs
Crysis 2 Maximum Edition,Backlog,9 hrs,0 hrs,,,,,Grimm's Hollow,Backlog,2.1 hrs,0 hrs
Cuphead,Completed,10.5 hrs,24.4 hrs,,,,,Gurumin: A Monstrous Adventure,Backlog,9.4 hrs,0 hrs
DAEMON X MACHINA,Backlog,15.5 hrs,0 hrs,,,,,Hades,Backlog,23.2 hrs,2.6 hrs
Dark and Darker,Multiplayer,1.1 hrs,0 hrs,,,,,Half-Life,Backlog,12 hrs,0.3 hrs
Dark Messiah of Might & Magic Single Player,Backlog,10 hrs,0.3 hrs,,,,,Half-Life 2,Backlog,12.9 hrs,0 hrs
DARK SOULS™ II: Scholar of the First Sin,Completed,35.5 hrs,6.2 hrs,,,,,Half-Life: Alyx,Backlog,12.2 hrs,4 hrs
DARK SOULS™ III,Completed,31.5 hrs,77.2 hrs,,,,,Half-Life: Blue Shift,Backlog,3.1 hrs,0 hrs
DARK SOULS™: Prepare To Die Edition,Completed,46 hrs,12.1 hrs,,,,,Half-Life: Opposing Force,Backlog,5.2 hrs,0 hrs
DARK SOULS™: REMASTERED,Completed,29.5 hrs,55.3 hrs,,,,,Halo Wars: Definitive Edition,Backlog,9 hrs,0 hrs
Dark Void,Completed,7 hrs,0.4 hrs,,,,,Halo: The Master Chief Collection,Backlog,43.1 hrs,30 hrs
Darkest Dungeon®,Arcade,57 hrs,21.5 hrs,,,,,Hand of Fate,Backlog,10.6 hrs,0 hrs
Darkest Dungeon® II,Arcade,26 hrs,2.3 hrs,,,,,Hell Yeah!,Backlog,7.4 hrs,0 hrs
Darksiders,Dropped,17.1 hrs,0 hrs,,,,,Heretic's Fork,Backlog,6 hrs,0 hrs
Darksiders II Deathinitive Edition,Backlog,19.8 hrs,0 hrs,,,,,Hero Siege,Backlog,9.5 hrs,0 hrs
Darksiders Warmastered Edition,Dropped,17.1 hrs,29.1 hrs,,,,,High On Life,Backlog,9.3 hrs,0 hrs
